snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
271817008#,Height static,406788012#,1,1,2,5529871000006114#,Height static,^ESCTHE552987,NA,406788012,NA,32
271817008#,Height static,406788012#,1,1,2,317246015#,Lack of growth,R0343,R034300,406787019,NA,32
271817008#,Height static,406788012#,1,1,2,5529851000006116#,Has not grown in height,^ESCTHA552985,NA,406786011,NA,32
271817008#,Has not grown in height (finding),664266010#,1,1,2,5529871000006114#,Height static,^ESCTHE552987,NA,406788012,NA,32
271817008#,Has not grown in height (finding),664266010#,1,1,2,317246015#,Lack of growth,R0343,R034300,406787019,NA,32
271817008#,Has not grown in height (finding),664266010#,1,1,2,5529851000006116#,Has not grown in height,^ESCTHA552985,NA,406786011,NA,32
17489000#,Body height normal for age,29563014#,1,0,1,2777641000006111#,Body height normal for age,^ESCTBO277764,NA,29563014,NA,31
58236001#,Normal height and weight,96781018#,1,0,1,3446211000006113#,Normal height and weight,^ESCTNO344621,NA,96781018,NA,31
58236001#,Normal height and weight,96781018#,1,0,1,3446201000006110#,Normal growth,^ESCTNO344620,NA,498112017,NA,31
129814003#,Body height abnormal for age,208651012#,1,0,1,4431301000006114#,Body height abnormal for age,^ESCTBO443130,NA,208651012,NA,31
129814003#,Body height abnormal for age,208651012#,1,0,1,11784691000006115#,Height abnormal for age,^ESCT1178469,NA,3506665019,NA,31
139977008#,O/E - height,221829018#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
139978003#,O/E - height greater than 20% below average,221830011#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
139979006#,O/E - height 10-20% below average,221831010#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
139980009#,O/E -height within 10% average,221832015#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
139981008#,O/E-height 10-20% over average,221833013#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
139982001#,O/E - height greater than 20% over average,221834019#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
139983006#,O/E - loss of height,221835018#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
139984000#,O/E - height NOS,221836017#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
140065005#,O/E - short stature,221950011#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
158283003#,[D]Short stature,246913017#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
