readcode,term_readcode,category,MedCodeId,Term,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId,final_readcode
XaPA2#,Main spoken language Ndebele,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPA2#
XaIpt#,Main spoken language Shona,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaIpt#
XaJP8#,Main spoken language Sinhala,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaJP8#
XaPFv#,Main spoken language Rundi,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPFv#
XaG67#,Main spoken language Swahili,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaG67#
XaJP4#,Main spoken language Norwegian,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaJP4#
XaJP6#,Main spoken language Patois,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaJP6#
XaWQW#,Main spoken language Nyanja,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaWQW#
Xacg2#,Main spoken language Scottish Gaelic,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,Xacg2#
XackS#,Main spoken language Nuosu,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XackS#
Xacke#,Main spoken language Navajo,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,Xacke#
Xackf#,Main spoken language South Ndebele,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,Xackf#
Xackg#,Main spoken language North Ndebele,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,Xackg#
Xackh#,Main spoken language Ndonga,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,Xackh#
Xackj#,Main spoken language Norwegian Nynorsk,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,Xackj#
Xackk#,Main spoken language Norwegian Bokmal,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,Xackk#
Xackm#,Main spoken language Ojibwa,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,Xackm#
