snomedcode,term_snomed,category,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
970661000000109#,NA,First Language Not English,NA#,0,1,1,8356041000006110#,Main spoken language Kongo,^ESCTMA835604,NA,8.36E+15,NA,17
970661000000109#,NA,First Language Not English,NA#,0,1,1,1706271000006114#,Main spoken language Kongo,EMISNQMA55,NA,2.47E+15,NA,17
970681000000100#,NA,First Language Not English,NA#,0,1,1,1706281000006112#,Main spoken language Kuanyama,EMISNQMA56,NA,2.47E+15,NA,17
970681000000100#,NA,First Language Not English,NA#,0,1,1,8356051000006112#,Main spoken language Kuanyama,^ESCTMA835605,NA,8.36E+15,NA,17
970691000000103#,NA,First Language Not English,NA#,0,1,1,8356061000006114#,Main spoken language Latin,^ESCTMA835606,NA,8.36E+15,NA,17
970691000000103#,NA,First Language Not English,NA#,0,1,1,1706291000006110#,Main spoken language Latin,EMISNQMA57,NA,2.47E+15,NA,17
970701000000103#,NA,First Language Not English,NA#,0,1,1,1706301000006111#,Main spoken language Limburgan,EMISNQMA58,NA,2.47E+15,NA,17
970701000000103#,NA,First Language Not English,NA#,0,1,1,8356071000006119#,Main spoken language Limburgan,^ESCTMA835607,NA,8.36E+15,NA,17
970721000000107#,NA,First Language Not English,NA#,0,1,1,1706311000006114#,Main spoken language Luxembourgish,EMISNQMA59,NA,2.47E+15,NA,17
970721000000107#,NA,First Language Not English,NA#,0,1,1,8356101000006112#,Main spoken language Luxembourgish,^ESCTMA835610,NA,8.36E+15,NA,17
970711000000101#,NA,First Language Not English,NA#,0,1,1,1706321000006118#,Main spoken language Luba-Katanga,EMISNQMA60,NA,2.47E+15,NA,17
970711000000101#,NA,First Language Not English,NA#,0,1,1,8356081000006116#,Main spoken language Luba-Katanga,^ESCTMA835608,NA,8.36E+15,NA,17
970751000000102#,NA,First Language Not English,NA#,0,1,1,1706331000006115#,Main spoken language Marshallese,EMISNQMA61,NA,2.47E+15,NA,17
970751000000102#,NA,First Language Not English,NA#,0,1,1,8356121000006119#,Main spoken language Marshallese,^ESCTMA835612,NA,8.36E+15,NA,17
729051000000103#,NA,First Language Not English,NA#,0,1,1,8228311000006116#,Main spoken language Fulah,^ESCTMA822831,NA,8.23E+15,NA,17
729051000000103#,NA,First Language Not English,NA#,0,1,1,1706161000006114#,Main spoken language Fulah,EMISNQMA44,NA,2.48E+15,NA,17
729051000000103#,NA,First Language Not English,NA#,0,1,1,8228301000006119#,Main spoken language Fulani,^ESCTMA822830,NA,1.60E+15,NA,17
970441000000105#,NA,First Language Not English,NA#,0,1,1,1706011000006112#,Main spoken language Avaric,EMISNQMA29,NA,2.47E+15,NA,17
970441000000105#,NA,First Language Not English,NA#,0,1,1,8355821000006118#,Main spoken language Avaric,^ESCTMA835582,NA,8.36E+15,NA,17
970451000000108#,NA,First Language Not English,NA#,0,1,1,1706021000006116#,Main spoken language Avestan,EMISNQMA30,NA,2.47E+15,NA,17
970451000000108#,NA,First Language Not English,NA#,0,1,1,8355831000006115#,Main spoken language Avestan,^ESCTMA835583,NA,8.36E+15,NA,17
970461000000106#,NA,First Language Not English,NA#,0,1,1,1706031000006118#,Main spoken language Bambara,EMISNQMA31,NA,2.47E+15,NA,17
970461000000106#,NA,First Language Not English,NA#,0,1,1,8355841000006113#,Main spoken language Bambara,^ESCTMA835584,NA,8.36E+15,NA,17
970471000000104#,NA,First Language Not English,NA#,0,1,1,1706041000006111#,Main spoken language Bosnian,EMISNQMA32,NA,2.47E+15,NA,17
970471000000104#,NA,First Language Not English,NA#,0,1,1,8355851000006110#,Main spoken language Bosnian,^ESCTMA835585,NA,8.36E+15,NA,17
970481000000102#,NA,First Language Not English,NA#,0,1,1,1706051000006113#,Main spoken language Chamorro,EMISNQMA33,NA,2.47E+15,NA,17
970481000000102#,NA,First Language Not English,NA#,0,1,1,8355861000006112#,Main spoken language Chamorro,^ESCTMA835586,NA,8.36E+15,NA,17
